github.com/AlDanial/cloc v 1.70  T=10.73 s (14.6 files/s, 1905.7 lines/s)
--------------------------------------------------------------------------------------------------------------------
File                                                                             blank        comment           code
modelmailer/tests.py                                                                 7              4             19
xerops/management/commands/etl.py                                                   11              2             19
members/templates/members/kiosk-waiting.html                                         5              0             19
members/templates/members/kiosk-check-in-member.html                                 4              0             16
modelmailer/admin.py                                                                 7              6             15
tasks/templates/tasks/email-staffing-emergency.html                                  0              0             14
inventory/urls.py                                                                    7              3             14
xerops/authenticators.py                                                             7             10             13
xerops/worker.py                                                                     9             15             13
books/urls.py                                                                        5              3             13
members/templates/members/email-taggings-report.html                                 3              0             13
members/templates/members/kiosk-invalid-card.html                                    3              0             10
abutils/deprecation.py                                                               4              4             10
books/signals/handlers.py                                                            6              4             10
tasks/management/commands/addmissingworkers.py                                       9              3              9
modelmailer/apps.py                                                                  7              3              8
members/apps.py                                                                      4              0              7
books/apps.py                                                                        4              0              7
tasks/templates/tasks/email_nag_template.html                                        0              1              7
tasks/elm-clients/transpile.sh                                                       2              4              6
tasks/apps.py                                                                        2              0              6
xerops/templates/admin/base_site.html                                                3              0              6
members/elm-clients/transpile.sh                                                     2              4              6
xerops/wsgi.py                                                                       6              6              6
abutils/time.py                                                                      4              3              4
members/__init__.py                                                                  1              0              1
books/__init__.py                                                                    1              0              1
modelmailer/models.py                                                                1              1              1
modelmailer/__init__.py                                                              1              0              1
modelmailer/views.py                                                                 1              1              1
tasks/__init__.py                                                                    2              0              1
tasks/templatetags/__init__.py                                                       0              0              1
tasks/signals/__init__.py                                                            0              0              1
tasks/templates/tasks/kiosk_check_out_content.html                                   0              1              0
--------------------------------------------------------------------------------------------------------------------
SUM:                                                                              4027           1866          14548
--------------------------------------------------------------------------------------------------------------------

-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Python                          84           3140           1507           9798
HTML                            52            424             53           2665
Elm                             16            448            294           2005
JSON                             2              0              0             41
Arduino Sketch                   1             11              4             27
Bourne Shell                     2              4              8             12
-------------------------------------------------------------------------------
SUM:                           157           4027           1866          14548
-------------------------------------------------------------------------------
